Discipline,Female,Male,Total,Category
3x3 Basketball,32,32,64,Team
Archery,64,64,128,Individual
Artistic Gymnastics,98,98,196,Individual
Artistic Swimming,105,0,105,Individual
Athletics,969,1072,2041,Individual
Badminton,86,87,173,Individual
Baseball/Softball,90,144,234,Team
Basketball,144,144,288,Team
Beach Volleyball,48,48,96,Team
Boxing,102,187,289,Individual
Canoe Slalom,41,41,82,Individual
Canoe Sprint,123,126,249,Individual
Cycling BMX Freestyle,10,9,19,Individual
Cycling BMX Racing,24,24,48,Individual
Cycling Mountain Bike,38,38,76,Individual
Cycling Road,70,131,201,Individual
Cycling Track,90,99,189,Individual
Diving,72,71,143,Individual
Equestrian,73,125,198,Individual
Fencing,107,108,215,Individual
Football,264,344,608,Team
Golf,60,60,120,Individual
Handball,168,168,336,Team
Hockey,192,192,384,Team
Judo,192,201,393,Individual
Karate,40,42,82,Individual
Marathon Swimming,25,25,50,Individual
Modern Pentathlon,36,36,72,Individual
Rhythmic Gymnastics,96,0,96,Individual
Rowing,257,265,522,Individual
Rugby Sevens,146,151,297,Team
Sailing,175,175,350,Individual
Shooting,178,178,356,Individual
Skateboarding,40,40,80,Individual
Sport Climbing,20,20,40,Individual
Surfing,20,20,40,Individual
Swimming,361,418,779,Individual
Table Tennis,86,86,172,Individual
Taekwondo,65,65,130,Individual
Tennis,94,97,191,Individual
Trampoline Gymnastics,16,16,32,Individual
Triathlon,55,55,110,Individual
Volleyball,144,144,288,Team
Water Polo,122,146,268,Team
Weightlifting,98,99,197,Individual
Wrestling,96,193,289,Individual
