,Year,Season,Sex,City,Sport,Player_Count
0,1896,Summer,M,Athina,Athletics,106
1,1896,Summer,M,Athina,Cycling,41
2,1896,Summer,M,Athina,Fencing,15
3,1896,Summer,M,Athina,Gymnastics,97
4,1896,Summer,M,Athina,Shooting,65
5,1896,Summer,M,Athina,Swimming,18
6,1896,Summer,M,Athina,Tennis,23
7,1896,Summer,M,Athina,Weightlifting,10
8,1896,Summer,M,Athina,Wrestling,5
9,1900,Summer,F,Paris,Croquet,6
10,1900,Summer,F,Paris,Equestrianism,2
11,1900,Summer,F,Paris,Golf,10
12,1900,Summer,F,Paris,Sailing,3
13,1900,Summer,F,Paris,Tennis,12
14,1900,Summer,M,Paris,Archery,32
15,1900,Summer,M,Paris,Athletics,234
16,1900,Summer,M,Paris,Basque Pelota,2
17,1900,Summer,M,Paris,Cricket,24
18,1900,Summer,M,Paris,Croquet,13
19,1900,Summer,M,Paris,Cycling,92
20,1900,Summer,M,Paris,Equestrianism,77
21,1900,Summer,M,Paris,Fencing,317
22,1900,Summer,M,Paris,Football,35
23,1900,Summer,M,Paris,Golf,12
24,1900,Summer,M,Paris,Gymnastics,135
25,1900,Summer,M,Paris,Polo,21
26,1900,Summer,M,Paris,Rowing,133
27,1900,Summer,M,Paris,Rugby,47
28,1900,Summer,M,Paris,Sailing,277
29,1900,Summer,M,Paris,Shooting,221
30,1900,Summer,M,Paris,Swimming,131
31,1900,Summer,M,Paris,Tennis,35
32,1900,Summer,M,Paris,Tug-Of-War,12
33,1900,Summer,M,Paris,Water Polo,53
34,1904,Summer,F,St. Louis,Archery,16
35,1904,Summer,M,St. Louis,Archery,54
36,1904,Summer,M,St. Louis,Athletics,201
37,1904,Summer,M,St. Louis,Boxing,24
38,1904,Summer,M,St. Louis,Cycling,61
39,1904,Summer,M,St. Louis,Diving,5
40,1904,Summer,M,St. Louis,Fencing,28
41,1904,Summer,M,St. Louis,Football,36
42,1904,Summer,M,St. Louis,Golf,105
43,1904,Summer,M,St. Louis,Gymnastics,458
44,1904,Summer,M,St. Louis,Lacrosse,36
45,1904,Summer,M,St. Louis,Roque,4
46,1904,Summer,M,St. Louis,Rowing,46
47,1904,Summer,M,St. Louis,Swimming,64
