,0
0,China
1,Denmark
2,DenmarkSweden
3,Netherlands
4,United States
5,Finland
6,Norway
7,Romania
8,Estonia
9,France
10,Taifun
11,Morocco
12,Spain
13,Egypt
14,Iran
15,Bulgaria
16,Italy
17,Chad
18,Azerbaijan
19,Sudan
20,Russia
21,Argentina
22,Cuba
23,Belarus
24,Greece
25,Cameroon
26,Turkey
27,Chile
28,Mexico
29,Soviet Union
30,Nicaragua
31,Hungary
32,Nigeria
33,Algeria
34,Kuwait
35,Bahrain
36,Pakistan
37,Iraq
38,United Arab Republic
39,Lebanon
40,Qatar
41,Malaysia
42,Germany
43,Thessalonki
44,Canada
45,Ireland
46,Australia
47,South Africa
48,Eritrea
49,Tanzania
50,Jordan
51,Tunisia
52,Libya
53,Belgium
54,Djibouti
55,Palestine
56,Comoros
57,Kazakhstan
58,Brunei
59,India
60,Saudi Arabia
61,Syria
62,Maldives
63,Ethiopia
64,United Arab Emirates
65,North Yemen
66,Indonesia
67,Philippines
68,Singapore
69,Uzbekistan
70,Kyrgyzstan
71,Tajikistan
72,Unified Team
73,Japan
74,Congo Brazzaville
75,Switzerland
76,Brazil
77,West Germany
78,East Germany
79,Monaco
80,Fornebo
81,Israel
82,Vesper Boat Club
83,Uruguay
84,Sweden
85,United States Virgin Islands
86,Sri Lanka
87,Armenia
88,Cote dIvoire
89,Kenya
90,Benin
91,Ukraine
92,Great Britain
93,Ghana
94,Somalia
95,Latvia
96,Niger
97,Mali
98,Afghanistan
99,Poland
100,Costa Rica
101,Panama
102,Georgia
103,Slovenia
104,Croatia
105,Guyana
106,New Zealand
107,Portugal
108,Paraguay
109,Angola
110,Venezuela
111,Colombia
112,Bangladesh
113,Peru
114,El Salvador
115,Puerto Rico
116,Uganda
117,Honduras
118,Ecuador
119,Turkmenistan
120,Mauritius
121,Seychelles
122,Czechoslovakia
123,Luxembourg
124,Mauritania
125,Saint Kitts and Nevis
126,Trinidad and Tobago
127,Dominican Republic
128,Saint Vincent and the Grenadines
129,Mystery
130,Jamaica
131,Liberia
132,Suriname
133,Nepal
134,Mongolia
135,Austria
136,Clementine V
137,Bylina
138,Palau
139,Lithuania
140,Togo
141,Namibia
142,Netherlands Antilles
143,Iceland
144,American Samoa
145,Samoa
146,Rwanda
147,Dominica
148,Haiti
149,Stella
150,Malta
151,Large boat Central Naval Prep School Poros
152,Cyprus
153,Guinea
154,Xolotl
155,Belize
156,Matrero II
157,Blue Red
158,Gteborgs Roddklubb
159,South Yemen
160,South Korea
161,Lucky Girl
162,Mutafo
163,Thailand
164,Yeoman VII
165,Bermuda
166,Australasia
167,Union des Socits Franais de Sports Athletiques
168,Serbia and Montenegro
169,Sierra Leone
170,Bissbi
171,Papua New Guinea
172,Yemen
173,Individual Olympic Athletes
174,Oman
175,Fiji
176,Vanuatu
177,Martha
178,Moldova
179,Yugoslavia
180,Bahamas
181,Guatemala
182,Burevestnik
183,Serbia
184,British Virgin Islands
185,Mozambique
186,Heatherbell
187,Central African Republic
188,Madagascar
189,Malaya
190,Socit Nautique de Bayonne
191,Bosnia and Herzegovina
192,Guam
193,Czech Republic
194,Cayman Islands
195,Cupidon Viking
196,Damoiselle
197,Slovakia
198,USFSA
199,The Cloud
200,Galerna
201,Heira II
202,Nykjbings paa Falster
203,Barbados
204,Guinea Bissau
205,Mohawk Indians
206,Tornado
207,Elsie
208,Roma
209,Lemzos Thorichton Spetsai
210,Mound City Rowing Club
211,Congo Kinshasa
212,Gabon
213,AliBaba II
214,San Marino
215,Favorite Hammonia
216,Laos
217,Botswana
218,Refugee Olympic Athletes
219,Frankfurt Club
220,Lett
221,GyoshuII
222,North Korea
223,Solomon Islands
224,Dolfijn
225,Senegal
226,Cape Verde
227,Tip
228,rn
229,Crete
230,Breslau
231,Club Nautique de Dieppe
232,Norna
233,Fram
234,Equatorial Guinea
235,Bolivia
236,Saar
237,Andorra
238,Antigua and Barbuda
239,EA II
240,Linglom
241,Mosk II
242,Elisabeth X
243,Ludwigshafener Ruderverein
244,Guyoni
245,Gallant
246,Zimbabwe
247,Grenada
248,Hera
249,Swedish Star
250,Nautikos Omilos
251,WolseleySiddeley
252,Hong Kong
253,Ciocca II
254,Saint Lucia
255,Carabinier
256,Federated States of Micronesia
257,Myanmar
258,Hirondelle
259,Kerstin
260,Evita VI
261,Malawi
262,Bronia
263,Zambia
264,Bluebottle
265,Rhodesia
266,Snap
267,Chinese Taipei
268,Sao Tome and Principe
269,Toronto Argonauts
270,England
271,Hungaria Evezos Egylet
272,Macedonia
273,Bohemia
274,Argonaut Rowing Club
275,Life boat naval ship Spetsai
276,Tonga
277,Fortuna
278,Liechtenstein
279,Pan
280,Montenegro
281,Leander Club
282,Lemzos Thorichton Psara
283,London City Police
284,Sabre
285,Firebird II
286,Berliner Ruderverein von 
287,Christian Brothers College
288,Primorka
289,Gambia
290,Racing Club de France
291,Grifo III
292,Bingo
293,Damoiselle IV
294,Crabe II
295,Nina Claire
296,QuImporte
297,Konstanz
298,Suzy
299,Mouchette
300,Dansk Idrts Forbund
301,Marmara
302,Moseley Wanderers
303,Chicago Athletic Association
304,Devon and Somerset Wanderers
305,Cook Islands
306,Albania
307,Pampero
308,Symphony
309,Marinai della nave da guerra Varese
310,Lalage
311,Gallia II
312,Dinah V
313,Nora
314,Kullan
315,Shoveller
316,Circus
317,Aletta
318,Widgeon
319,Inca
320,Foxhunters Hurlingham
321,Thames Rowing Club
322,Erna Signe
323,Sirene
324,Anitra
325,Magda IX
326,PistojaFirenze
327,West Indies Federation
328,Posillipo III
329,Tritons Lillois
330,Club Nautique de Franais
331,Boreas
332,Peri
333,Tichiboo
334,Swaziland
335,Italia
336,Angelita
337,Burkina Faso
338,Nortazo
339,Tom Kyle
340,Esterel
341,North Borneo
342,Wiking
343,Buraddoo
344,Heroine
345,Burundi
346,Snude
347,Atlanta
348,Germania II
349,Wannsee
350,Polyteknisk Roklub
351,Aruba
352,Buscape II
353,Nina
354,Kristiania Roklub
355,Ormsund Roklub
356,Chuckles
357,Winnipeg Shamrocks
358,Olle
359,Camelia
360,Aschenbrodel
361,Bera
362,Slaghoken
363,Nikh
364,Swift
365,Andorinha
366,Cupidon III
367,Athens
368,Marga
369,Serendipity
370,LAile VI
371,Cercle de lAviron Roubaix
372,Caprice
373,New College Oxford
374,Compigne Polo Club
375,Vision
376,Cambridge University Boat Club
377,Trickson VI
378,St Rose
379,Calcinhas
380,Gteborgs Roddfrening
381,Minerva Amsterdam
382,Chamukina
383,New York Athletic Club
384,St Louis Southwest Turnverein 
385,Nauru
386,Namoussa
387,Panhellenios Gymnastikos Syllogos
388,Gabbiano
389,Ceres II
390,Covunco III
391,Royal Club Nautique de Gand
392,Roddklubben af 
393,Bucintoro Venezia
394,Edelweiss II
395,Bamba
396,Rush IV
397,AliBaba VI
398,Upton Park FC
399,BLO Polo Club Rugby
400,Western Rowing Club
401,Pigoule
402,South Vietnam
403,Snowten III
404,Hungaria
405,Libellule de Paris
406,Scram
407,Amstel Amsterdam
408,Scotland
409,Liverpool Police Team
410,Vinha
411,Fantasio III
412,Norwegian Rowing Association
413,Timor Leste
414,LaBandera
415,Sarcelle
416,Tango
417,Brynhild
418,Espuma del Mar
419,Twins II
420,Pupilles de Neptune de Lille 
421,Beaver
422,Baccara
423,Cobweb
424,RalClub Barcelona
425,Ausonia
426,Vietnam
427,Romolo
428,Argus
429,Galatea II
430,Antwerpia V
431,Lotta IV
432,Saga
433,Mari
434,Paula
435,Oranje
436,Acturus
437,Societ Nautique de la Marne
438,Teresita
439,BarionBari
440,Eissero VI
441,K Division Metropolitan Police Team
442,Cambodia
443,Complex II
444,Allegro
445,Ylliam VIII
446,QuandMme
447,Berliner Ruderclub SportBorussia
448,Smyrna
449,Bhutan
450,SiamesCat
451,Kingfisher
452,Gustel V
453,Sonja II
454,Jill
455,Kiel
456,Web II
457,KNS
458,Galt Football Club
459,TimTam III
460,Uragan
461,Babe
462,Antares
463,Venilia
464,Hatuey
465,Morena
466,Osborne Swimming Club Manchester
467,Brussels Swimming and Water Polo Club
468,Ancora
469,Saskia
470,Wales
471,SagaII
472,Gem
473,June Climene
474,Oleander XII
475,Phoenix
476,Ylliam VII
477,Calypse II
478,Ciocca
479,Esperia
480,Tournade
481,Galejan
482,Marshall Islands
483,Santa Maria
484,Dormy
485,Umberta V
486,Rozenn
487,Jest
488,Peri II
489,Magdalen College Boat Club
490,Scotia
491,Red Dragon
492,RV Germania Leitmeritz
493,Akatonbo
494,Terrible
495,Elisabeth V
496,Studenternes Roklub
497,Rififi
498,Partenope
499,Bermudes
500,Cornwall
501,Kiribati
502,Diablo
503,Plumepatte
504,Pierre et Jean
505,Espadarte
506,Fruits
507,Sidi Fekkar
508,Souvenance
509,Meteor
510,Kurush II
511,Canopus
512,Crabe I
513,Gwendoline
514,Daisy
515,Pegaso
516,Girl Pat
517,Fada
518,Bu III
519,Lerina
520,Grifo IV
521,Bagatelle Polo Club Paris
522,St Margrite
523,Hollandia
524,Aphrodite
525,United StatesFrance
526,Bonzo
527,Univ of Brussels
528,Socit Nautique de la Basse Seine
529,Rowing Club Castillon
530,Yeoman XII
531,Frip IV
532,Mad Dog
533,Hb
534,Century Boat Club
535,Unique
536,PanHellenic Athletic Club
537,Phalainis ton Thorichtou Hydra
538,Viking
539,Silja
540,Bermudian
541,Mignon
542,Favorite
543,St Louis Amateur Athletic Association
544,Naiad
545,Gitana
546,Joy
547,Thalatta
548,Galopin
549,Berliner Ruderclub
550,Rhythm
551,Guanahani
552,Unknown
553,Spirit III
554,Pannonia RCNational RC
555,Western Golf Association
556,Bella
557,MayBe 
558,May Be
559,IngaLill XXXXIII
560,Nirwana
561,Omilos Ereton Peiraios
562,Llanoria
563,Marmi II
564,Kitty
565,Vaxholm Roddklubb
566,Tuvalu
567,A North American Team
568,Nirefs
569,Finn II
570,Impala
571,Missouri Athletic Club
572,Pam
573,Apache
574,Roklubb Kbnhavn
575,TuFri
576,Tutti V
577,Augsburg
578,Leander Club 
579,Ariel
580,Encore
581,Feo
582,Seawanhaka Boat Club
583,Gem II
584,Chaje II
585,Ludwigshafener Ruder Verein
586,Dylan
587,Moorina
588, Februar
589,Gyrinus
590,Ylliam II
591,Paka V
592,Brigantia
593,Sydney Rowing Club
594,Vicking
595,Kannibaltje
596,Milwaukee Athletic Club
597,Xantippa
598,Skum
599,Kemphaan
600,Helsingfors R K
601,Newfoundland
602,Fram III
603,Mizar
604,Ubu
605,Acipactli
606,Essen
607,Miss Nippon V
608,Argeste
609,Gullvinge
610,Bajazzo
611,Cinara
612,Ilderim
613,Tantalus
614,Peiraikos Syndesmos
615,Nausikaa 
616,Baby
617,Femur
618,Ballerina IV
619,Kosovo
620,Colette
621,GermanyUnited States
622,Germania Ruder Club Hamburg
623,Freddy
624,Rika II
625,Korshun
626,Patricia
627,Tlaloc
628,Aretusa
629,Quicksilver
630,Viktoriya
631,Omilos Ereton Smyrnis
632,Espardate
633,Alcaid
634,Alain IV
635,Jupiter
636,Three Leaves
637,KSSS 
638,Paka
639,Sheerio
640,WillemSix
641,Pasodoble
642,Freja
643,Roy
644,Jet
645,Shrew II
646,Salamander
647,Ingegerd
648,Johan
649,Andromeda
650,Hornet
651,South Sudan
652,Chance
653,Brat
654,Yeoman V
655,Vinga
656,Aloha II
657,Raili
658,Syndi
659,Vento Sul
660,Sans Atout
661,Miss Nippon IV
662,Tramontane
663,Sandra
664,Nurdug II
665,Eleda
666,Lbeck
667,Yeoman
668,Boer Team
669,Beatrijs III
670,Lesotho
671,Ravenswood Boat Club
672,Irene
673,Balaton
674,Web III
675,Kuling
676,Sif
677,Djinn
678,Mascotte
679,Bona Fide
680,Skidoo
681,Tomahawk II
682,Whirlaway
683,Sorais
684,Minotaur
685,Surprise
686,Zut
687,Lucky Star
688,KonTiki
689,Escapade
690,Emily
691,Mirtala
692,Angerburg
693,Hurlingham
694,Barco Deloro
695,DeRuyter
696,Dick
697,Chok
698,Kalayaan
699,Olimpia
700,Jo
701,Macky VI
702,Nrnberg
703,Nephos I
704,Tengiri
705,Hayama
706,Rush VII
707,Rush V
708,Bim
709,TanFePah
710,Lucky
711,Spirit VI
712,Lully II
713,Subbnboana
714,Phalainis ton Thorichtou Psara
715,ChaCha III
716,Sildra
717,Rostock
718,Norman
719,Olympion
720,Tajamar
721,Sunshine
722,Heidelberg
723,Amulet
724,Omas Helliniki P S
725,Virginie
726,Alcyon
727,Suzon IV
728,Mascaret
729,Sibindi
730,Combine
731,Ethnikos Gymnastikos Syllogos
732,Stade Franais AC
733,Kathleen
734,Deutscher Schwimm Verband Berlin
735,Club Nautique de Lyon
736,Noreg
737,May Be VII
738,Monica
739,Holland
740,Argo II
741,Frimousse
742,Proteus II
743,Gyp
744,Zefyros
745,Sass
746,Amolgavar
747,Mebi
748,Oleander II
749,Cercle Nautique de Reims
750,Riccar
751,Lynn
752,TransMississippi Golf Association
753,Nan
754,Scamasaxe
755,Three Star Too
756,Bellatrix IX
757,Jeanette
758,Turquoise
759,Roehampton
760,Glisten
761,Grifone
762,Twinkle
763,Myojo
764,Ducky
765,Rose Pompon
766,Souriceau
767,Lady C
768,Frieda
769,Marsouin
770,Persey
771,HiHi
772,Atalanta Boat Club
773,Wendehals
774,Titia
775,Gustel X
776,Olen
777,Barrenjoey
778,Voloira II
779,Bremen
780,Donar III
781,Hojwa
782,MitaII
783,Tineke
784,Danuta
785,Maryke
786,Falcon VI
787,Slaghoken II
788,Gam II
789,Manana
790,Pandora
791,Red Indian
792,Gilliatt V
793,Humbug V
794,Kln
795,DemiMondaine
796,Nokaut II
797,Tulilind
798,Margaret
799,Aldebaran II
800,Pimm
801,White Lady
802,Comanche
803,Cambria
804,Cicely
805,MaLindo
806,Harmony
807,John B
808,Independent Rowing Club
809,MarieTim
810,Astrid III
811,PousseMoi Pas VII
812,Merope
813,Scaup
814,Legionario
815,Merope III
816,Enotria
817,Verveine
818,Ariette
819,Fantlet
820,Maid of Lebanon
821,Danaldo
822,Lyn
823,Sylvia
824,Aldebaran
825,Falcon IV
826,Potsdam
827,Giselle
828,Ardilla
829,Faneca
830,Windor
831,Vim III
832,Ralia
833,Lasha
834,State VI
835,Hilarius
836,Hakahana
837,Glider
838,Tilly
839,Starita
840,Pan II
841,Squid III
842,Mamie
843,Hamburg
844,Mac Miche
845,Camille
846,Neptun II
847,Cuxhaven
848,Arcturus
849,Formosa
850,Danzig
851,Trintel II
852,Springbok
853,Sjovinge
854,Brandenburg
855,Struten
856,Freia
857,Sea Dog
858,Mainz
859,Druzhba
