Year,Team,Medal
1896,Australia,2
1896,Australia/Great Britain,2
1896,Austria,5
1896,Denmark,6
1896,Ethnikos Gymnastikos Syllogos,2
1896,France,11
1896,Germany,31
1896,Great Britain,7
1896,Great Britain/Germany,2
1896,Greece,44
1896,Greece-1,2
1896,Hungary,6
1896,Switzerland,3
1896,United States,20
1900,A North American Team,4
1900,Amateur Athletic Association,5
1900,Aschenbrodel,8
1900,Australia,5
1900,Austria,6
1900,"BLO Polo Club, Rugby",4
1900,Baby-1,2
1900,"Bagatelle Polo Club, Paris",4
1900,Belgium,14
1900,Belgium-1,1
1900,Bohemia,2
1900,Bohemia/Great Britain,2
1900,Bona Fide,3
1900,Brussels Swimming and Water Polo Club,10
1900,Brynhild-2,1
1900,Canada,2
1900,Carabinier-15,1
1900,Cercle de l'Aviron Roubaix-4,5
1900,Cicely-1,1
1900,Club Nautique de Lyon-2,4
1900,Crabe II-1,5
1900,Crabe II-4,5
1900,Cuba,2
1900,Denmark,6
1900,Denmark/Sweden,6
1900,Deutscher Schwimm Verband Berlin,4
1900,Devon and Somerset Wanderers,12
1900,Esterel-1,2
1900,Fantlet-7,1
1900,Favorite Hammonia-3,6
1900,Favorite-1,8
1900,Femur-1,1
1900,Formosa,1
1900,Foxhunters Hurlingham,5
1900,France,75
1900,France-1,4
1900,France/Great Britain,2
1900,Frankfurt Club,15
1900,Frimousse,1
1900,"Germania Ruder Club, Hamburg-2",5
1900,Germany,2
1900,Gitana-2,10
1900,Great Britain,22
1900,Great Britain-1,2
1900,Great Britain-2,2
1900,Gwendoline-2,3
1900,Hungary,5
1900,India,2
1900,Italy,5
1900,Laurea-1,1
1900,Lerina,6
1900,Libellule de Paris,7
1900,Ludwigshafener Ruder Verein-1,5
1900,Luxembourg,1
1900,Martha-1,8
1900,Mascotte,3
1900,Mignon-3,1
1900,Minerva Amsterdam,17
1900,Moseley Wanderers,15
1900,Netherlands,6
1900,Nina Claire-2,4
1900,Norway,9
1900,Olle,6
1900,"Osborne Swimming Club, Manchester",7
1900,Pupilles de Neptune de Lille #2-1,8
1900,Pupilles de Neptune de Lille-1,4
1900,Quand-Mme-2,9
1900,Racing Club de France,11
1900,Rowing Club Castillon-3,3
1900,Royal Club Nautique de Gand,9
1900,Sarcelle-3,3
1900,Scamasaxe-2,2
1900,Scamasaxe-3,2
1900,Scotia,6
1900,Societ Nautique de la Marne-1,2
1900,Spain,2
1900,Sweden,1
1900,Switzerland,15
1900,Tritons Lillois-2,5
1900,Turquoise-1,1
1900,USFSA,13
1900,Union des Socits Franais de Sports Athletiques,29
1900,United States,45
1900,United States/France,2
1900,United States/Great Britain,2
1900,Univ. of Brussels,11
1900,Upton Park FC,11
1900,Vesper Boat Club,9
1904,Atalanta Boat Club-1,2
1904,Atalanta Boat Club-2,2
1904,Australia,4
1904,Austria,3
1904,Boston Archers,4
1904,Canada,2
1904,"Central Turnverein, Chicago",6
1904,Century Boat Club-1,4
1904,Chicago Athletic Association,5
1904,Chicago Athletic Association-2,11
1904,Christian Brothers' College-1,11
1904,Cincinnati Archers,8
1904,Cuba,5
1904,France,1
1904,Galt Football Club,13
1904,Germany,15
1904,Great Britain,2
1904,Greece,2
