Year,NOC,Medal
1896,AUT,3
1896,DEN,2
1896,FRA,5
1896,GBR,3
1896,GER,4
1896,GRE,30
1896,HUN,5
1896,SUI,1
1896,USA,10
1900,AUS,2
1900,AUT,3
1900,BEL,36
1900,BOH,2
1900,CAN,1
1900,COL,1
1900,CUB,1
1900,DEN,5
1900,ESP,2
1900,FRA,119
1900,GBR,81
1900,GER,37
1900,HAI,1
1900,HUN,3
1900,ITA,1
1900,LUX,1
1900,MEX,3
1900,NED,15
1900,NOR,1
1900,NZL,1
1900,SUI,3
1900,SWE,4
1900,USA,35
1904,AUS,1
1904,AUT,1
1904,CAN,48
1904,CUB,1
1904,FRA,1
1904,GBR,2
1904,GER,7
1904,HUN,1
1904,NOR,2
1904,SUI,2
1904,USA,191
1906,AUS,2
1906,AUT,3
1906,BEL,3
1906,BOH,1
1906,CAN,2
1906,DEN,33
1906,FIN,1
1906,FRA,17
1906,GBR,13
1906,GER,9
1906,GRE,76
1906,HUN,3
1906,ITA,44
1906,NED,1
1906,NOR,23
1906,SWE,8
1906,USA,3
1908,ANZ,16
1908,BEL,17
1908,CAN,31
1908,DEN,11
1908,FIN,28
1908,FRA,12
1908,GBR,277
1908,GER,11
1908,HUN,2
1908,ITA,2
1908,NED,16
1908,NOR,21
1908,RSA,1
1908,RUS,2
1908,SWE,54
1908,USA,20
1912,ANZ,3
1912,AUT,1
1912,BEL,3
1912,CAN,3
1912,DEN,58
1912,FIN,43
1912,FRA,6
1912,GBR,62
1912,GER,26
1912,HUN,15
1912,ITA,17
1912,NED,16
1912,NOR,58
1912,RSA,4
1912,RUS,9
1912,SUI,2
1912,SWE,73
1912,USA,30
1920,AUS,1
1920,BEL,120
1920,BRA,1
1920,CAN,14
1920,DEN,59
1920,ESP,23
1920,EST,2
1920,FIN,16
1920,FRA,69
1920,GBR,55
1920,GRE,3
1920,ITA,40
1920,JPN,1
1920,LUX,1
1920,NED,39
1920,NOR,96
1920,NZL,1
1920,RSA,5
1920,SUI,19
1920,SWE,69
1920,TCH,9
1920,USA,106
1924,ARG,10
1924,AUS,2
1924,AUT,4
1924,BEL,9
1924,CAN,16
1924,DEN,9
1924,EST,2
1924,FIN,17
1924,FRA,53
1924,GBR,33
1924,GRE,1
1924,HAI,1
1924,HUN,12
1924,IRL,2
1924,ITA,23
1924,LUX,2
1924,MON,1
1924,NED,10
1924,NOR,9
1924,NZL,1
1924,POL,3
1924,ROU,16
1924,RSA,2
1924,SUI,30
1924,SWE,22
1924,TCH,2
1924,URU,14
1924,USA,116
1924,YUG,1
1928,ARG,22
1928,AUS,2
1928,AUT,4
1928,BEL,5
1928,CAN,18
1928,DEN,6
1928,EGY,2
1928,EST,6
1928,FIN,9
1928,FRA,32
1928,GBR,36
1928,GER,61
1928,HUN,7
1928,IND,14
1928,IRL,1
1928,ITA,47
1928,JPN,2
1928,NED,38
1928,NOR,4
1928,NZL,1
1928,PHI,1
1928,POL,11
1928,RSA,1
1928,SUI,15
1928,SWE,14
1928,TCH,3
1928,URU,9
1928,USA,54
1932,ARG,3
1932,AUS,2
1932,AUT,2
1932,BEL,1
1932,CAN,27
1932,DEN,4
1932,FIN,11
1932,FRA,16
1932,GBR,15
1932,GER,21
1932,HUN,10
1932,IND,11
1932,IRL,1
1932,ITA,33
1932,JPN,25
1932,LAT,1
1932,MEX,2
1932,NED,3
1932,NZL,2
1932,PHI,1
1932,POL,10
1932,RSA,3
1932,SWE,15
1932,TCH,1
1932,URU,1
1932,USA,129
1936,ARG,11
1936,AUT,51
1936,BEL,6
1936,CAN,13
1936,DEN,5
1936,EGY,5
1936,EST,3
1936,FIN,9
1936,FRA,12
1936,GBR,22
1936,GER,164
1936,HUN,24
1936,IND,14
1936,ITA,53
1936,JPN,10
1936,LAT,2
1936,MEX,15
1936,NED,23
1936,NOR,24
1936,POL,5
1936,ROU,1
1936,RSA,1
1936,SUI,26
1936,SWE,22
1936,TCH,15
1936,TUR,2
1936,USA,66
1948,ARG,8
1948,AUS,8
1948,AUT,4
1948,BEL,5
1948,BRA,10
1948,CAN,4
1948,CUB,2
1948,DEN,41
1948,EGY,3
1948,FIN,14
1948,FRA,43
1948,GBR,47
1948,HUN,30
1948,IND,20
1948,IRI,1
1948,IRL,1
1948,ITA,50
1948,JAM,1
1948,KOR,2
1948,MEX,2
1948,NED,31
1948,NOR,14
1948,PAN,1
1948,PER,1
1948,POL,2
1948,POR,2
1948,PUR,1
1948,RSA,6
1948,SUI,16
1948,SWE,53
1948,TCH,14
1948,TTO,1
1948,TUR,10
1948,URU,3
1948,USA,113
1948,YUG,16
1952,ARG,4
1952,AUS,12
1952,AUT,3
1952,BEL,4
1952,BRA,1
1952,BUL,1
1952,CAN,3
1952,CHI,1
1952,DEN,7
1952,EGY,1
1952,FIN,15
1952,FRA,20
1952,GBR,21
1952,GER,20
1952,HUN,39
1952,IND,7
1952,IRI,6
1952,IRL,1
1952,ITA,24
1952,JPN,5
1952,KOR,1
1952,LIB,2
1952,NED,3
1952,NOR,9
1952,NZL,2
1952,POL,1
1952,POR,1
1952,ROU,3
1952,RSA,6
1952,SUI,9
1952,SWE,31
1952,TCH,8
1952,TTO,1
1952,TUR,3
1952,URS,69
1952,URU,6
1952,USA,85
1952,VEN,1
1952,YUG,14
1956,ARG,1
1956,AUS,36
1956,AUT,2
1956,BEL,1
1956,BUL,11
1956,CAN,14
1956,CHI,4
1956,DEN,3
1956,FIN,4
1956,FRA,13
1956,GBR,18
1956,GER,19
1956,HUN,21
1956,IND,9
1956,IRI,2
1956,IRL,5
1956,ISL,1
1956,ITA,22
1956,JPN,7
1956,KOR,1
