,Year,Season,Sex,City,Player_Count
0,1896,Summer,M,Athina,380
1,1900,Summer,F,Paris,33
2,1900,Summer,M,Paris,1903
3,1904,Summer,F,St. Louis,16
4,1904,Summer,M,St. Louis,1285
5,1906,Summer,F,Athina,11
6,1906,Summer,M,Athina,1722
7,1908,Summer,F,London,47
8,1908,Summer,M,London,3054
9,1912,Summer,F,Stockholm,87
10,1912,Summer,M,Stockholm,3953
11,1920,Summer,F,Antwerpen,134
12,1920,Summer,M,Antwerpen,4158
13,1924,Summer,F,Paris,244
14,1924,Summer,M,Paris,4989
17,1928,Summer,F,Amsterdam,404
18,1928,Summer,M,Amsterdam,4588
21,1932,Summer,F,Los Angeles,347
22,1932,Summer,M,Los Angeles,2622
25,1936,Summer,F,Berlin,468
26,1936,Summer,M,Berlin,6038
29,1948,Summer,F,London,628
30,1948,Summer,M,London,5777
33,1952,Summer,F,Helsinki,1497
34,1952,Summer,M,Helsinki,6773
37,1956,Summer,F,Melbourne,870
38,1956,Summer,F,Stockholm,23
39,1956,Summer,M,Melbourne,3959
40,1956,Summer,M,Stockholm,275
43,1960,Summer,F,Roma,1435
44,1960,Summer,M,Roma,6684
47,1964,Summer,F,Tokyo,1348
48,1964,Summer,M,Tokyo,6354
51,1968,Summer,F,Mexico City,1777
52,1968,Summer,M,Mexico City,6811
55,1972,Summer,F,Munich,2193
56,1972,Summer,M,Munich,8111
59,1976,Summer,F,Montreal,2172
60,1976,Summer,M,Montreal,6469
63,1980,Summer,F,Moskva,1756
64,1980,Summer,M,Moskva,5435
67,1984,Summer,F,Los Angeles,2447
68,1984,Summer,M,Los Angeles,7007
71,1988,Summer,F,Seoul,3543
72,1988,Summer,M,Seoul,8494
75,1992,Summer,F,Barcelona,4124
76,1992,Summer,M,Barcelona,8853
81,1996,Summer,F,Atlanta,5008
82,1996,Summer,M,Atlanta,8772
85,2000,Summer,F,Sydney,5431
86,2000,Summer,M,Sydney,8390
89,2004,Summer,F,Athina,5546
90,2004,Summer,M,Athina,7897
93,2008,Summer,F,Beijing,5816
94,2008,Summer,M,Beijing,7786
97,2012,Summer,F,London,5815
98,2012,Summer,M,London,7105
101,2016,Summer,F,Rio de Janeiro,6223
102,2016,Summer,M,Rio de Janeiro,7465
