,Year,Season,City,Sport,Player_Count
146,1924,Winter,Chamonix,Alpinism,21
147,1924,Winter,Chamonix,Bobsleigh,39
148,1924,Winter,Chamonix,Cross Country Skiing,74
149,1924,Winter,Chamonix,Curling,16
150,1924,Winter,Chamonix,Figure Skating,37
151,1924,Winter,Chamonix,Ice Hockey,82
152,1924,Winter,Chamonix,Military Ski Patrol,24
153,1924,Winter,Chamonix,Nordic Combined,30
154,1924,Winter,Chamonix,Ski Jumping,27
155,1924,Winter,Chamonix,Speed Skating,110
173,1928,Winter,Sankt Moritz,Bobsleigh,116
174,1928,Winter,Sankt Moritz,Cross Country Skiing,90
175,1928,Winter,Sankt Moritz,Figure Skating,63
176,1928,Winter,Sankt Moritz,Ice Hockey,124
177,1928,Winter,Sankt Moritz,Nordic Combined,35
178,1928,Winter,Sankt Moritz,Skeleton,10
179,1928,Winter,Sankt Moritz,Ski Jumping,38
180,1928,Winter,Sankt Moritz,Speed Skating,106
199,1932,Winter,Lake Placid,Bobsleigh,52
200,1932,Winter,Lake Placid,Cross Country Skiing,74
201,1932,Winter,Lake Placid,Figure Skating,41
202,1932,Winter,Lake Placid,Ice Hockey,48
203,1932,Winter,Lake Placid,Nordic Combined,33
204,1932,Winter,Lake Placid,Ski Jumping,34
205,1932,Winter,Lake Placid,Speed Skating,70
230,1936,Winter,Garmisch-Partenkirchen,Alpine Skiing,103
231,1936,Winter,Garmisch-Partenkirchen,Bobsleigh,118
232,1936,Winter,Garmisch-Partenkirchen,Cross Country Skiing,175
233,1936,Winter,Garmisch-Partenkirchen,Figure Skating,87
234,1936,Winter,Garmisch-Partenkirchen,Ice Hockey,173
235,1936,Winter,Garmisch-Partenkirchen,Nordic Combined,51
236,1936,Winter,Garmisch-Partenkirchen,Ski Jumping,48
237,1936,Winter,Garmisch-Partenkirchen,Speed Skating,140
258,1948,Winter,Sankt Moritz,Alpine Skiing,360
259,1948,Winter,Sankt Moritz,Bobsleigh,92
260,1948,Winter,Sankt Moritz,Cross Country Skiing,156
261,1948,Winter,Sankt Moritz,Figure Skating,71
262,1948,Winter,Sankt Moritz,Ice Hockey,139
263,1948,Winter,Sankt Moritz,Nordic Combined,39
264,1948,Winter,Sankt Moritz,Skeleton,15
265,1948,Winter,Sankt Moritz,Ski Jumping,49
266,1948,Winter,Sankt Moritz,Speed Skating,154
286,1952,Winter,Oslo,Alpine Skiing,378
287,1952,Winter,Oslo,Bobsleigh,96
288,1952,Winter,Oslo,Cross Country Skiing,188
289,1952,Winter,Oslo,Figure Skating,65
290,1952,Winter,Oslo,Ice Hockey,147
291,1952,Winter,Oslo,Nordic Combined,25
292,1952,Winter,Oslo,Ski Jumping,44
293,1952,Winter,Oslo,Speed Skating,145
313,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,403
314,1956,Winter,Cortina d'Ampezzo,Bobsleigh,135
315,1956,Winter,Cortina d'Ampezzo,Cross Country Skiing,275
316,1956,Winter,Cortina d'Ampezzo,Figure Skating,59
317,1956,Winter,Cortina d'Ampezzo,Ice Hockey,169
318,1956,Winter,Cortina d'Ampezzo,Nordic Combined,36
319,1956,Winter,Cortina d'Ampezzo,Ski Jumping,51
320,1956,Winter,Cortina d'Ampezzo,Speed Skating,179
340,1960,Winter,Squaw Valley,Alpine Skiing,320
341,1960,Winter,Squaw Valley,Biathlon,30
342,1960,Winter,Squaw Valley,Cross Country Skiing,216
343,1960,Winter,Squaw Valley,Figure Skating,71
344,1960,Winter,Squaw Valley,Ice Hockey,152
345,1960,Winter,Squaw Valley,Nordic Combined,33
346,1960,Winter,Squaw Valley,Ski Jumping,45
347,1960,Winter,Squaw Valley,Speed Skating,249
369,1964,Winter,Innsbruck,Alpine Skiing,411
370,1964,Winter,Innsbruck,Biathlon,51
371,1964,Winter,Innsbruck,Bobsleigh,117
372,1964,Winter,Innsbruck,Cross Country Skiing,332
373,1964,Winter,Innsbruck,Figure Skating,88
374,1964,Winter,Innsbruck,Ice Hockey,270
375,1964,Winter,Innsbruck,Luge,85
376,1964,Winter,Innsbruck,Nordic Combined,32
